Genotype,Strain,Accession,Gene,Subtype,Note,Citation,CitationNote
GA1,A2,M11486,G,A,,PMID25109878,Table 1
GA2,Mon/1/94,AF448498,G,A,,PMID25109879,Table 1
GA2,TX69564,AF233923,G,A,,PMID25109880,Table 1
GA3,MO16,AF233913,G,A,,PMID25109881,Table 1
GA3,TX68481,AF233920,G,A,,PMID25109882,Table 1
GA4,CH09,AF065254,G,A,,PMID25109883,Table 1
GA5,MO01,AF233909,G,A,,PMID25109884,Table 1
GA5,NY103,AF233916,G,A,,PMID25109885,Table 1
GA6,NY20,AF233918,G,A,,PMID25109886,Table 1
GA7,SA99V360,AF348804,G,A,,PMID25109887,Table 1
NA1,ON187-0111,JN257701,G,A,,PMID25109888,Table 1
NA1,Chongqing/A/08/03,GU550471,G,A,,PMID25109889,Table 1
NA1,NG-016-04,AB470478,G,A,,PMID25109890,Table 1
NA2,NG-082-05,AB470479,G,A,,PMID25109891,Table 1
NA3,BJ/28170,KC297260,G,A,,PMID25109892,Table 1
NA4,BJ/36578,KC297374,G,A,,PMID25109893,Table 1
ON1,ON67-1210A,JN257693,G,A,,PMID25109894,Table 1
ON1,ON138-0111,JN257694,G,A,,PMID25109895,Table 1
ON1,BJ/40180,KC559442,G,A,,PMID25109896,Table 1
ON1,Chiba-C/24031,AB698559,G,A,,PMID25109897,Table 1
SAA1,SA99V1239,AF348808,G,A,,PMID25109898,Table 1
GA1,A2,X02221,F,A,,PMID25109899,Table 1
GA2,SA010157K,AY526550,F,A,,PMID25109900,Table 1
GA2,SA98V173,AY526551,F,A,,PMID25109901,Table 1
GA5,SA010128K,AY526552,F,A,,PMID25109902,Table 1
GA5,SA97D1131,AY526553,F,A,,PMID25109903,Table 1
GA7,SA97D540,AY526554,F,A,,PMID25109904,Table 1
GA7,SA99VR360,AY526555,F,A,,PMID25109905,Table 1
NA1,ON187-0111,JN257690,F,A,,PMID25109906,Table 1
NA1,CQ sequences,JX682715,F,A,I picked one from range JX682715-JX682800,PMID25109907,Table 1
ON1,ON67-1210A,JN257682,F,A,,PMID25109908,Table 1
ON1,ON138-0111,JN257683,F,A,,PMID25109909,Table 1
ON1,RSVA/GN435/11,JX627336,F,A,,PMID25109910,Table 1
SAA1,SA98D707,AY526556,F,A,,PMID25109911,Table 1
SAA1,SA98VR341,AY526557,F,A,,PMID25109912,Table 1
ON1,,AB808757,G,A,,PMC4188618,OCR from Fig.2
ON1,,JX912364,G,A,,PMC4188619,OCR from Fig.2
ON1,,JN257693,G,A,,PMC4188620,OCR from Fig.2
ON1,,KF587987,G,A,,PMC4188621,OCR from Fig.2
ON1,,JX885731,G,A,,PMC4188622,OCR from Fig.2
NA1,,JX988456,G,A,,PMC4188623,OCR from Fig.2
NA1,,KC342390,G,A,,PMC4188624,OCR from Fig.2
NA1,,KC297377,G,A,,PMC4188625,OCR from Fig.2
NA1,,KF246587,G,A,,PMC4188626,OCR from Fig.2
